QuickSort
Elements, Best, Worst, Average
0, 0.610000, 0.590000, 0.590000
1, 0.671000, 0.649000, 0.659000
2, 2.057100, 1.674900, 2.065900
3, 4.145710, 3.327490, 4.146590
4, 6.934570, 5.272749, 4.564659
5, 10.263456, 7.757276, 5.966466
6, 14.196345, 10.545728, 8.056646
7, 18.839634, 13.964572, 9.545664
8, 24.043964, 17.436459, 10.934566
9, 29.834393, 21.543644, 14.013455
10, 36.363441, 26.104364, 13.401346
11, 43.616341, 30.950434, 18.430134
12, 51.511635, 36.385044, 23.623013
13, 60.641155, 42.258507, 20.962301
14, 69.674118, 49.525852, 26.216228
15, 79.417412, 55.732586, 24.941624
16, 90.261742, 62.953255, 29.314159
17, 102.046181, 70.905319, 33.991417
18, 115.594620, 78.510536, 29.819143
19, 143.309464, 100.381058, 39.561913
20, 140.920944, 99.678108, 37.996193
21, 154.642105, 105.337814, 37.839619
22, 166.684219, 114.123764, 41.113960
23, 181.828445, 127.552383, 46.911392
24, 211.892853, 135.735245, 53.711140
25, 219.529266, 149.853531, 53.671112
26, 234.552933, 155.425339, 57.037109
27, 246.825272, 165.902542, 63.323708
28, 265.332520, 177.860229, 76.562363
29, 301.303253, 199.206009, 61.036243
30, 302.670319, 205.810593, 63.293621
31, 324.557037, 217.281052, 62.089363
32, 346.735718, 231.498123, 68.898926
33, 366.793549, 262.459808, 81.849884
34, 387.199341, 262.935974, 105.114990
35, 409.469910, 274.213593, 82.451508
36, 432.026947, 288.171326, 83.335152
37, 454.832672, 307.037140, 84.643517
38, 489.033264, 339.963684, 99.474350
39, 801.133362, 516.146362, 154.187439
40, 560.783325, 374.794617, 123.838745
41, 558.868286, 371.619476, 105.263870
42, 581.136841, 388.891968, 98.536392
43, 610.203674, 407.799164, 103.603638
44, 643.130432, 427.309906, 108.110367
45, 668.572998, 443.471008, 104.621048
46, 694.837280, 460.927094, 106.712097
47, 722.943787, 481.772705, 114.071205
48, 757.664429, 504.937317, 113.587120
49, 788.136475, 524.583740, 119.768715
50, 845.243530, 545.088379, 135.276871
51, 851.974426, 564.418823, 141.607681
52, 887.027466, 588.561890, 133.150757
53, 917.982788, 610.096130, 126.605064
54, 977.568237, 630.189575, 138.360504
55, 986.756836, 653.588989, 133.436050
56, 1024.145752, 677.268921, 149.233612
57, 1058.524658, 699.906860, 162.033371
58, 1090.832520, 727.550659, 177.303329
59, 1132.273315, 749.335022, 180.450348
60, 1168.677246, 772.803528, 174.595032
61, 1214.807861, 819.130310, 174.949493
62, 1249.230713, 862.103027, 183.724945
63, 1286.293091, 861.310242, 198.352509
64, 1328.819458, 876.890991, 184.805252
65, 1370.621826, 904.059082, 180.470535
66, 1408.562256, 934.836060, 171.847046
67, 1456.336182, 959.263550, 194.634720
68, 1497.533569, 991.636353, 190.913483
69, 1542.233276, 1017.163696, 183.811340
70, 1645.113281, 1108.086426, 191.761124
71, 1641.411377, 1085.728638, 192.456100
72, 1676.701172, 1105.922852, 209.425613
73, 1723.480225, 1135.222290, 197.182571
74, 1771.508057, 1164.262207, 200.948273
75, 1817.460938, 1196.286255, 214.604828
76, 1863.526123, 1216.018677, 203.270477
77, 1983.192627, 1310.391846, 229.957062
78, 1956.439087, 1285.949097, 247.685699
79, 2017.864014, 1346.764893, 268.048584
80, 2069.766113, 1363.846436, 235.044846
81, 2116.116699, 1395.194702, 237.974487
82, 2170.091797, 1425.709351, 272.017487
83, 2376.689209, 1567.961060, 271.991760
84, 2327.188965, 1633.636108, 257.289185
85, 2351.238770, 1552.403687, 261.428925
86, 2387.223877, 1571.730469, 271.782898
87, 2444.412598, 1609.603027, 283.248291
88, 2507.020996, 1646.120361, 259.814819
89, 2570.422119, 1678.432007, 262.931488
90, 2633.752441, 1717.273193, 308.493164
91, 2665.725098, 1752.427368, 283.429291
92, 2721.072510, 1788.652710, 288.372925
93, 2780.537109, 1839.975220, 295.897308
94, 2857.333496, 1866.257446, 283.949738
95, 2901.473389, 1907.255493, 289.014954
96, 2968.287354, 1947.685791, 324.221497
97, 3022.198730, 1983.568726, 314.272156
