BubbleSort
Elements, Best, Worst, Average
0, 1.610000, 1.520000, 1.560000
1, 1.711000, 1.672000, 1.706000
2, 4.541100, 5.627200, 4.280600
3, 9.024110, 13.092720, 11.628060
4, 16.002411, 43.519272, 22.772808
5, 21.770243, 36.931927, 29.577280
6, 28.027023, 44.813194, 40.827724
7, 38.572701, 60.461323, 56.902779
8, 49.917274, 75.236137, 65.010277
9, 54.321728, 89.483620, 76.031021
10, 67.812180, 137.658356, 71.013107
11, 45.531219, 73.245834, 52.481312
12, 51.913124, 97.834579, 64.048141
13, 58.991310, 94.103462, 72.234810
14, 67.279129, 108.190346, 82.663483
15, 84.067917, 135.499023, 108.066330
16, 98.696793, 151.209915, 140.756638
17, 102.649681, 163.320999, 134.575653
18, 122.864975, 182.762100, 149.837555
19, 128.536499, 213.676224, 169.453751
20, 141.383667, 228.387619, 187.465378
21, 177.538361, 251.938766, 214.436523
22, 173.663849, 280.633881, 234.153641
23, 189.546387, 302.453369, 271.235382
24, 228.934647, 348.695343, 300.723541
25, 227.753448, 363.649536, 296.442352
26, 251.985352, 385.964996, 321.794250
27, 260.598541, 417.036469, 343.359436
28, 282.599854, 451.253662, 365.745941
29, 301.429962, 482.515381, 382.504578
30, 323.292999, 519.831543, 431.600433
31, 345.299286, 577.853149, 430.360046
32, 367.779968, 590.575317, 460.645996
33, 396.627991, 656.317505, 506.484619
34, 416.102844, 667.231689, 515.558472
35, 439.190247, 709.963135, 571.835815
36, 465.809021, 745.996338, 576.783569
37, 493.160889, 788.799622, 607.498352
38, 605.536133, 963.829956, 750.109802
39, 562.013611, 889.523071, 748.171021
40, 581.221375, 939.142395, 727.197144
41, 605.142151, 968.254272, 752.659790
42, 636.534241, 1019.845337, 818.866028
43, 669.473450, 1060.664551, 837.966614
44, 696.277344, 1114.536499, 876.026550
45, 727.447693, 1163.853760, 916.742554
46, 764.364807, 1213.875366, 956.784363
47, 801.046509, 1266.097534, 997.648438
48, 836.304688, 1328.649658, 1049.184814
49, 867.020386, 1385.005005, 1093.308472
50, 903.792114, 1448.320557, 1143.980835
51, 962.219238, 1500.511963, 1193.687988
52, 980.921997, 1557.301270, 1224.698853
53, 1011.862183, 1618.930054, 1287.570068
54, 1056.096191, 1681.383057, 1325.517090
55, 1096.109619, 1744.168213, 1378.791748
56, 1137.071045, 1810.446655, 1450.839233
57, 1176.587036, 1875.934570, 1490.634033
58, 1220.238647, 1943.503540, 1542.813354
59, 1266.243896, 2009.280273, 1596.801392
60, 1441.324341, 2193.177979, 1820.809937
61, 1549.542480, 2211.797852, 1750.041016
62, 1525.264404, 2659.749756, 2000.934204
63, 1460.056396, 2353.614746, 1852.113647
64, 1547.165649, 2603.261475, 2036.051392
65, 1624.136597, 2520.986084, 2042.445313
66, 1658.113892, 2650.398926, 2036.504517
67, 1665.131470, 2620.179932, 2101.220459
