BucketSort
Elements, Best, Worst, Average
0, 0.500000, 0.460000, 0.480000
1, 0.540000, 0.536000, 0.528000
2, 19.493999, 19.003599, 19.172798
3, 27.959400, 27.920361, 28.177280
4, 35.915936, 36.012035, 37.327728
5, 43.591595, 43.561203, 43.772770
6, 51.849159, 51.216118, 51.337273
7, 59.584911, 59.491608, 59.373730
8, 87.918488, 90.059158, 91.117378
9, 105.251854, 107.875916, 107.641747
10, 86.575180, 87.107590, 89.914177
11, 92.057518, 92.430763, 92.091415
12, 107.125755, 103.873085, 107.779137
13, 117.242569, 118.107300, 127.387917
14, 125.214256, 121.710732, 122.938797
15, 140.361435, 148.771088, 141.883881
16, 174.676147, 172.047104, 183.638382
17, 164.017624, 169.464691, 166.033829
18, 172.371765, 176.346466, 171.063385
19, 221.037186, 221.554642, 223.106354
20, 235.223724, 238.505447, 226.080643
21, 194.202362, 210.100540, 196.398071
22, 185.730225, 188.930069, 186.609818
23, 185.363022, 191.692993, 186.350983
24, 212.236298, 211.179291, 210.365082
25, 204.433624, 206.957916, 204.546494
26, 215.773361, 213.395798, 213.964645
27, 242.477325, 239.119553, 256.746490
28, 265.507751, 252.321945, 261.034637
29, 247.730789, 246.132202, 258.453461
30, 241.063080, 239.533234, 241.195343
31, 246.956329, 250.583344, 250.409546
32, 267.645660, 271.048309, 270.370972
33, 269.084564, 268.054810, 271.757080
34, 297.438446, 297.465485, 296.155701
35, 325.403839, 323.886566, 327.405579
36, 358.860382, 355.488647, 362.040588
37, 371.376038, 349.468872, 368.834045
38, 331.167603, 323.056915, 338.253418
39, 348.496765, 348.225708, 344.825348
40, 394.639679, 402.222565, 397.952545
41, 375.173981, 366.032257, 376.855286
42, 360.117371, 368.953217, 365.945496
43, 368.491760, 365.595306, 352.644592
44, 372.329163, 371.979553, 380.414459
45, 361.952911, 357.067963, 358.311462
46, 371.415283, 366.536804, 363.671143
47, 373.301514, 378.423676, 373.127136
48, 378.930176, 382.992371, 382.082703
49, 388.483032, 388.439209, 401.668274
50, 396.928284, 395.563934, 396.546814
51, 405.772797, 402.156403, 402.034729
52, 412.177307, 412.545654, 411.833435
53, 417.667786, 418.664551, 419.383362
54, 459.786774, 456.146423, 436.598328
55, 440.208679, 441.854645, 440.859802
56, 446.770905, 438.135437, 439.405945
57, 451.017090, 447.933533, 451.840576
58, 460.981750, 454.733337, 460.544037
59, 473.378235, 474.943359, 471.224426
60, 487.897797, 510.654297, 526.962402
61, 491.389801, 510.555420, 501.596252
62, 708.229004, 814.085510, 816.569580
63, 737.422913, 764.678528, 800.896912
64, 594.782288, 633.007874, 652.259766
65, 599.658203, 603.900757, 623.325928
66, 648.085815, 603.480042, 650.372620
67, 651.048584, 722.557983, 639.537231
68, 585.824829, 573.225769, 555.043762
69, 563.472534, 557.312622, 550.814331
70, 559.067261, 552.541260, 557.001465
71, 562.026733, 563.244080, 568.000122
72, 657.062683, 649.824341, 648.690002
73, 668.356323, 640.592407, 635.989075
74, 621.875610, 674.399292, 646.528931
