CountSort
Elements, Best, Worst, Average
0, 0.520000, 0.470000, 0.490000
1, 0.672000, 0.597000, 0.599000
2, 14.707201, 14.509700, 14.969900
3, 18.310720, 18.450970, 18.956989
4, 21.471073, 21.275095, 21.885700
5, 24.107105, 24.557508, 24.648571
6, 26.490711, 28.085751, 27.054859
7, 29.389072, 29.528576, 29.375484
8, 32.318909, 32.132858, 32.347546
9, 35.271889, 35.343285, 35.084755
10, 38.057186, 38.574329, 37.588478
11, 45.815720, 45.937431, 39.848850
12, 43.701576, 44.223747, 40.634880
13, 46.620159, 46.172375, 43.243492
14, 48.472012, 48.097233, 44.764347
15, 50.747204, 51.359722, 47.626434
16, 53.864723, 53.465965, 50.252640
17, 56.276478, 56.606590, 53.735268
18, 59.157646, 58.390656, 55.083534
19, 61.655762, 61.509064, 57.558357
20, 64.965576, 64.190903, 59.065834
21, 68.016556, 78.709084, 62.466583
22, 74.191650, 71.030907, 65.176659
23, 72.549164, 74.113091, 66.167664
24, 74.814919, 74.441307, 67.626762
25, 77.051491, 78.454140, 70.152664
26, 80.015152, 80.085411, 72.145271
27, 83.351517, 82.778542, 74.294533
28, 85.415146, 85.417854, 77.789452
29, 93.701523, 91.851784, 82.058945
30, 91.280144, 92.685173, 81.555893
31, 93.238014, 93.428520, 83.445595
32, 96.963799, 97.562851, 85.684555
33, 100.766373, 99.426285, 87.108459
34, 101.426636, 101.402626, 88.890846
35, 105.392677, 107.610268, 93.399094
36, 111.319275, 114.211021, 99.969902
37, 110.671921, 110.821121, 97.226990
38, 112.627182, 112.882126, 98.452698
39, 115.872719, 115.608215, 100.545273
40, 118.217270, 122.670822, 104.054527
41, 121.451721, 126.227074, 110.375443
42, 122.935181, 122.692711, 109.267555
43, 126.043518, 126.179276, 111.136757
44, 130.404358, 130.487930, 113.083679
45, 140.880432, 151.218796, 124.548363
46, 197.048035, 196.981873, 169.414841
47, 221.164795, 217.988190, 188.201492
48, 191.226501, 183.618805, 157.080154
49, 164.052643, 165.191879, 131.708023
50, 146.375275, 146.009186, 127.890808
51, 147.977524, 146.390930, 126.229080
52, 151.247772, 149.719101, 128.072906
53, 168.494781, 163.921906, 140.117279
54, 157.109467, 157.522186, 134.061737
55, 160.420944, 165.342209, 136.166168
56, 162.612091, 162.004242, 138.286621
57, 166.821213, 172.010422, 144.588669
58, 168.752121, 170.501038, 156.398880
59, 181.095200, 173.230103, 149.769867
60, 196.089523, 198.773010, 162.046982
61, 194.058945, 229.207306, 171.344696
62, 180.085907, 183.860718, 154.684479
63, 258.658600, 254.596039, 212.168427
64, 202.115875, 192.589600, 165.066849
65, 210.781586, 208.308990, 174.656677
66, 213.658157, 222.750900, 189.005676
67, 202.985809, 202.485092, 166.000580
68, 205.578568, 204.608490, 173.490067
69, 253.987869, 261.250885, 224.329010
70, 357.578796, 359.605103, 297.652924
71, 295.867889, 291.200500, 237.705322
72, 235.216766, 235.460052, 207.430511
