HeapSort
Elements, Best, Worst, Average
0, 0.480000, 0.460000, 0.450000
1, 0.508000, 0.506000, 0.505000
2, 2.380800, 1.830600, 1.860500
3, 3.978080, 3.453060, 3.016050
4, 7.107808, 5.105306, 5.471605
5, 9.950781, 8.290530, 9.407162
6, 13.255076, 10.549053, 12.710717
7, 16.035507, 12.724904, 15.121073
8, 29.793552, 25.612492, 27.192112
9, 48.509357, 40.081253, 42.429207
10, 57.590935, 45.438126, 59.752922
11, 66.619095, 50.253807, 65.505295
12, 76.811905, 59.985382, 71.690521
13, 82.581192, 67.128540, 72.549049
14, 56.598122, 47.762852, 56.104908
15, 54.519814, 44.706284, 50.430489
16, 60.541981, 48.490627, 50.673054
17, 66.814194, 52.319061, 56.617302
18, 72.201424, 57.211906, 60.911736
19, 77.430145, 64.791199, 64.461174
20, 85.813011, 69.909126, 73.966110
21, 89.221298, 72.890915, 76.086617
22, 95.572128, 77.639099, 81.858658
23, 101.247208, 83.283905, 84.965866
24, 107.244728, 90.008392, 96.246590
25, 113.924477, 92.950836, 104.024658
26, 120.372452, 97.885086, 106.742470
27, 124.637245, 103.738510, 110.154251
28, 132.953705, 108.703857, 114.885422
29, 144.225372, 112.770386, 122.538536
30, 142.892548, 119.827026, 130.043854
31, 155.159256, 127.232712, 137.464386
32, 166.625916, 135.653259, 148.346451
33, 163.042603, 134.385330, 145.624649
34, 172.044266, 142.588531, 149.372467
35, 178.734436, 149.768860, 157.207245
36, 183.963440, 154.606888, 165.360718
37, 192.946350, 158.120697, 174.916061
38, 201.124634, 163.422058, 180.111603
39, 209.992477, 170.812210, 184.511154
40, 213.989227, 175.531219, 195.481110
41, 222.118927, 186.633133, 199.158112
42, 230.041901, 192.153320, 201.535797
43, 234.844193, 200.045334, 209.903564
44, 265.634399, 223.614548, 236.350342
45, 251.453445, 211.511444, 231.085037
46, 257.515350, 213.041138, 233.948517
47, 267.301544, 218.014084, 238.494873
48, 271.000183, 222.901398, 241.199509
49, 280.070038, 229.260132, 249.209961
50, 287.156982, 237.656006, 256.521027
51, 293.655701, 246.575607, 266.562073
52, 303.305603, 253.037521, 274.626221
53, 315.190552, 266.493774, 281.502625
54, 320.279022, 270.569397, 292.100281
55, 324.457886, 272.776947, 296.720032
56, 333.305756, 277.627716, 304.742004
57, 338.660553, 283.282776, 310.974182
58, 347.616058, 292.818298, 318.327454
59, 354.051605, 298.841827, 323.612732
60, 359.245178, 304.734192, 328.751282
61, 363.424530, 311.723419, 334.805115
62, 373.452423, 318.632324, 341.720490
63, 378.565247, 325.333221, 352.982056
64, 388.666534, 327.633362, 357.708191
65, 399.566681, 338.313385, 360.600800
66, 406.446686, 347.341339, 371.480072
67, 416.804688, 351.394135, 382.768005
68, 425.310455, 357.519409, 401.256775
69, 433.691071, 361.371948, 396.175690
70, 439.669098, 374.577209, 399.807587
71, 450.026947, 376.367706, 411.530762
72, 458.382721, 381.736755, 426.213074
73, 467.548340, 390.443665, 419.241302
74, 473.894836, 399.714355, 430.444153
75, 484.059479, 404.681458, 435.804382
76, 487.725922, 411.918121, 448.720398
77, 497.932556, 424.961823, 459.452057
78, 508.453278, 432.406189, 462.325195
79, 514.915405, 430.490570, 469.772522
80, 525.081543, 441.489075, 476.957214
81, 532.558167, 448.088928, 488.885742
82, 543.215759, 456.048889, 491.248596
83, 624.131531, 475.984924, 501.604889
84, 567.203186, 470.678406, 510.870453
85, 566.990356, 477.527832, 514.717102
86, 579.259033, 484.262787, 529.841675
87, 588.885864, 491.476257, 529.564148
88, 588.278625, 501.777679, 536.676392
89, 598.967834, 512.307739, 541.677673
90, 611.156738, 515.170776, 545.097717
91, 617.245728, 522.547058, 562.779785
92, 623.504578, 533.224670, 564.167969
93, 635.170532, 535.612427, 572.796753
94, 646.546997, 545.261292, 583.859680
95, 654.474731, 546.666138, 583.265991
96, 671.717468, 562.856567, 628.036560
97, 676.311707, 570.385620, 601.693665
98, 684.041138, 575.588562, 608.389343
99, 691.034058, 573.138855, 612.758911
100, 695.523438, 589.943848, 625.355896
101, 703.362305, 596.404419, 630.175598
102, 737.166260, 605.450500, 637.417542
103, 725.096558, 607.765015, 644.771851
104, 730.389709, 619.316528, 653.847168
105, 737.308960, 629.361633, 670.644714
106, 749.560913, 636.586182, 674.644531
107, 756.935974, 639.598572, 682.844482
108, 763.353577, 647.969849, 691.804443
109, 772.855347, 658.436890, 696.890503
110, 782.785583, 672.903687, 719.519043
111, 790.398560, 673.030396, 707.761841
112, 796.589905, 691.023071, 717.686157
113, 810.268921, 694.792358, 730.048706
114, 819.166870, 706.639221, 735.144836
115, 842.236633, 721.643921, 749.754517
116, 867.093628, 736.954407, 771.445374
117, 851.489380, 730.925415, 768.624634
118, 855.649048, 763.342529, 808.062439
119, 907.244934, 783.794312, 839.356262
120, 891.734558, 746.709351, 794.045654
121, 880.223450, 759.260986, 811.084595
122, 888.692261, 760.486023, 808.628418
123, 909.199219, 807.488586, 858.912781
124, 1054.979980, 886.558899, 926.371216
125, 930.568054, 794.415833, 843.517090
126, 930.576843, 792.641541, 837.021667
127, 938.197632, 798.564148, 860.352173
128, 936.089722, 807.666382, 860.935181
129, 1002.348938, 864.526672, 918.363464
130, 966.694946, 827.702637, 883.036316
131, 975.119507, 823.250305, 877.963684
132, 981.071960, 833.115051, 899.846375
133, 989.497192, 851.081421, 898.564636
134, 997.069702, 857.238159, 909.786438
135, 1007.786987, 864.233887, 911.488586
136, 1065.328735, 885.503418, 939.318970
137, 1030.872925, 878.220337, 926.641907
138, 1036.357300, 885.762024, 934.154175
139, 1048.455811, 894.016235, 937.755371
140, 1054.125610, 902.121704, 946.285522
141, 1061.912598, 910.522156, 958.638550
142, 1072.021240, 907.822144, 965.143921
143, 1088.092163, 924.932251, 981.474426
144, 1149.719238, 940.023132, 986.597473
145, 1107.312012, 947.702332, 979.199707
146, 1134.801270, 949.840210, 995.229980
147, 1128.630127, 949.713989, 989.873047
148, 1131.562988, 962.611450, 1002.927368
149, 1138.976196, 976.601196, 1015.462769
150, 1155.807739, 979.380188, 1021.736206
151, 1159.880737, 997.958008, 1037.563599
152, 1182.918213, 1030.445801, 1082.236328
153, 1178.071899, 1012.614624, 1048.853638
154, 1196.217163, 1015.751587, 1053.715454
155, 1200.521729, 1029.835205, 1059.851440
156, 1208.202148, 1029.843506, 1077.095093
157, 1217.470215, 1036.224365, 1080.829468
158, 1262.327026, 1059.582397, 1093.353027
159, 1244.232666, 1060.668213, 1110.615234
160, 1243.803223, 1077.506958, 1104.631592
161, 1258.280273, 1072.480713, 1110.093140
162, 1271.457886, 1082.048096, 1118.879272
163, 1275.975708, 1094.804810, 1125.828003
164, 1293.497437, 1101.440552, 1139.452881
165, 1301.679810, 1111.524170, 1150.155273
166, 1312.697876, 1121.022339, 1164.345459
167, 1319.769775, 1123.872192, 1167.504639
168, 1326.527100, 1131.077271, 1186.600464
169, 1336.262695, 1148.487793, 1197.040039
170, 1347.126221, 1143.228760, 1200.774048
171, 1360.182617, 1164.922852, 1223.197388
172, 1368.118164, 1165.092285, 1218.989746
173, 1375.211792, 1171.339111, 1222.049072
174, 1384.831299, 1180.203857, 1232.184937
175, 1397.973267, 1198.990356, 1218.078491
176, 1414.447266, 1211.928955, 1261.347900
177, 1437.514771, 1201.802856, 1269.184814
178, 1440.771362, 1218.120361, 1279.278564
179, 1436.657104, 1225.112061, 1276.767822
180, 1440.945679, 1241.031128, 1273.166748
181, 1451.144653, 1243.803101, 1271.056763
182, 1463.524536, 1255.470459, 1295.535645
183, 1477.662354, 1269.507080, 1305.103760
184, 1479.116333, 1273.340698, 1321.500244
185, 1487.891602, 1279.924072, 1334.340088
186, 1500.789185, 1281.492432, 1343.463989
187, 1517.298706, 1295.139282, 1351.716431
188, 1570.069946, 1319.573975, 1367.951660
189, 1533.956787, 1325.757446, 1358.935059
190, 1588.855713, 1351.695801, 1375.393555
191, 1561.395508, 1331.919556, 1379.489258
192, 1553.889526, 1341.121948, 1385.448975
193, 1577.019043, 1341.632202, 1436.594849
194, 1588.451904, 1343.513306, 1401.799561
195, 1590.875244, 1358.601318, 1406.869995
196, 1599.407471, 1369.090088, 1403.746948
197, 1613.800659, 1382.578979, 1417.824707
198, 1668.369873, 1392.397827, 1425.632446
199, 1657.867188, 1400.579834, 1442.263306
200, 1645.926758, 1397.547852, 1439.506348
201, 1648.232666, 1411.474854, 1455.720581
202, 1659.253174, 1419.947510, 1459.662109
203, 1678.335327, 1438.364624, 1467.846191
204, 1677.983398, 1470.376343, 1495.474609
205, 1690.938232, 1457.687622, 1500.097412
206, 1696.323853, 1461.098755, 1509.239746
207, 1712.452393, 1473.169922, 1498.973877
208, 1790.245361, 1504.267090, 1539.537354
