InsertionSort
Elements, Best, Worst, Average
0, 0.500000, 0.480000, 0.470000
1, 0.510000, 0.518000, 0.527000
2, 1.161000, 1.481800, 1.462700
3, 1.726100, 2.918180, 2.906270
4, 2.272610, 4.891818, 3.540627
5, 2.837261, 7.449182, 5.684062
6, 3.413726, 10.544917, 8.688406
7, 3.951373, 14.354492, 11.488839
8, 4.505137, 18.445452, 13.798883
9, 5.090514, 23.174547, 16.479889
10, 5.629051, 28.447454, 19.267990
11, 6.152905, 34.444744, 23.876799
12, 7.345290, 42.634472, 24.447681
13, 7.324529, 47.973446, 27.134769
14, 7.842453, 59.077343, 35.903481
15, 8.374246, 64.027725, 35.260349
16, 9.017424, 72.072769, 38.416035
17, 9.561742, 82.547272, 45.971607
18, 10.186174, 93.264732, 53.167156
19, 11.158617, 103.646469, 61.426720
20, 11.325861, 115.414658, 68.402672
21, 11.752584, 125.621460, 73.890266
22, 12.395258, 139.612137, 83.869034
23, 12.999525, 150.081223, 88.006905
24, 13.549953, 163.218124, 93.350693
25, 14.094995, 176.291809, 94.965065
26, 19.879498, 261.869202, 131.706512
27, 25.077953, 340.236908, 174.760651
28, 20.577797, 286.553711, 146.226044
29, 16.907780, 241.775360, 133.022614
30, 19.180779, 252.527542, 134.202255
31, 17.548079, 271.702759, 143.250244
32, 20.574808, 343.160248, 179.275024
33, 18.757481, 316.246033, 169.927505
34, 18.945749, 324.684631, 171.322739
35, 19.674574, 349.378448, 185.972275
36, 20.217457, 364.167847, 198.667236
37, 20.801744, 390.046783, 199.036713
38, 21.640173, 413.504700, 223.623688
39, 22.014017, 431.630463, 223.762360
40, 22.471401, 450.013031, 224.996216
41, 22.907141, 470.471283, 240.059616
42, 23.390713, 491.387115, 249.805954
43, 24.349072, 517.628723, 250.350586
44, 24.714909, 540.522888, 268.255066
45, 25.171490, 567.872253, 278.945496
46, 25.907150, 592.497192, 283.214539
47, 26.400717, 617.439697, 291.531464
48, 26.850073, 643.913940, 301.533142
49, 27.255009, 665.981384, 309.463318
50, 27.855503, 699.308105, 309.746338
51, 28.415548, 728.400757, 321.754639
52, 29.211557, 758.770142, 331.775452
53, 29.491156, 782.957031, 338.877502
54, 30.089115, 812.705688, 343.097748
55, 31.768909, 847.910522, 363.989746
56, 31.226892, 876.131042, 368.078949
57, 31.732691, 903.743042, 381.907898
58, 32.233269, 936.724304, 403.520782
59, 32.783321, 980.112488, 413.132080
60, 33.358330, 1000.351257, 424.063232
61, 39.225834, 1052.305176, 441.086334
62, 35.022583, 1070.500488, 443.818604
63, 37.222260, 1112.620117, 468.701843
64, 35.852226, 1147.612061, 498.680176
65, 36.255222, 1175.071045, 513.198059
66, 36.575523, 1210.987061, 527.319824
67, 37.467552, 1244.038696, 553.851990
68, 37.706753, 1283.313843, 563.625183
69, 38.350677, 1322.161377, 580.512512
70, 38.945065, 1368.146240, 611.001221
71, 39.534508, 1402.534668, 626.180176
72, 40.033451, 1458.653320, 661.978027
73, 40.483345, 1487.005371, 679.807800
74, 41.148335, 1528.960449, 703.280823
75, 41.584831, 1573.866089, 712.498169
76, 42.378483, 1606.226685, 718.689819
77, 42.927849, 1648.632813, 754.938965
78, 46.502785, 1717.423218, 824.653931
79, 43.780281, 1732.502319, 797.595459
80, 44.918030, 1776.930298, 789.739624
81, 50.451801, 1858.223022, 832.783875
82, 47.565178, 1902.952393, 846.088379
83, 45.736519, 1925.435181, 863.318848
84, 46.573650, 1971.653564, 898.801880
85, 46.957359, 2013.215454, 930.200073
86, 47.835735, 2064.951660, 970.750000
87, 47.483574, 2086.085449, 996.994995
88, 47.638359, 2163.838623, 1052.509521
89, 51.293842, 2342.654053, 1077.470947
90, 49.479385, 2343.025146, 1127.207153
91, 50.407940, 2313.742432, 1147.100708
