MergeSort
Elements, Best, Worst, Average
0, 0.600000, 0.590000, 0.600000
1, 0.670000, 0.649000, 0.660000
2, 9.816999, 9.814899, 9.676000
3, 22.661701, 22.391491, 22.597601
4, 35.906174, 35.569149, 35.679760
5, 51.950611, 51.296917, 51.617981
6, 68.195061, 67.559692, 68.291801
7, 85.199509, 84.815971, 84.959183
8, 113.909958, 111.571594, 103.745926
9, 125.160995, 123.127159, 123.734596
10, 143.436096, 141.562714, 141.733475
11, 160.843613, 158.876266, 166.753342
12, 179.794373, 176.727631, 177.995331
13, 199.509430, 197.762772, 201.209503
14, 216.030930, 213.466263, 213.940948
15, 235.003098, 239.016647, 232.014084
16, 260.820313, 265.151672, 249.951385
17, 275.812042, 276.115173, 284.845154
18, 299.921204, 291.241516, 293.014496
19, 327.232117, 315.094147, 318.011444
20, 349.253204, 337.649384, 360.641174
21, 365.405304, 364.524933, 398.194153
22, 377.040497, 381.742493, 379.129456
23, 417.234070, 401.024292, 397.532928
24, 421.393402, 416.292389, 420.583313
25, 440.429291, 435.139252, 435.808289
26, 461.442932, 450.223938, 454.150879
27, 479.324280, 476.852386, 480.405029
28, 508.162445, 510.335205, 509.670502
29, 526.106201, 519.743530, 522.157104
30, 538.260620, 538.154297, 536.075684
31, 557.236023, 557.895447, 554.437622
32, 579.213562, 574.649536, 574.233765
33, 598.521362, 601.794983, 594.233398
34, 618.072144, 618.109497, 618.123291
35, 651.157227, 642.901001, 639.982300
36, 675.845764, 693.280151, 666.888306
37, 691.494568, 688.288025, 689.198853
38, 716.519470, 709.068848, 709.559937
39, 744.741882, 736.756897, 740.625977
40, 773.364136, 773.795715, 770.942566
41, 790.146362, 781.749573, 783.284180
42, 807.734741, 824.125000, 809.078430
43, 831.393433, 829.622437, 825.257813
44, 850.939331, 842.472290, 845.505737
45, 979.183899, 907.097290, 897.850586
46, 895.898438, 922.879761, 903.275085
47, 907.229797, 893.627930, 915.357422
48, 922.673035, 928.842651, 930.155762
49, 950.427246, 946.524231, 950.675598
50, 990.362671, 967.572388, 986.997559
51, 1001.736206, 989.017273, 1013.989746
52, 1023.573608, 1015.481750, 1025.218994
53, 1053.367432, 1061.218140, 1049.442017
54, 1071.306763, 1069.521851, 1069.474121
55, 1093.250732, 1086.022217, 1089.507446
56, 1119.675049, 1115.462158, 1118.060669
57, 1143.607666, 1135.016235, 1139.206177
58, 1161.200806, 1156.781616, 1165.790649
59, 1233.190186, 1200.558105, 1199.229004
60, 1302.569092, 1257.805786, 1263.963013
61, 1245.607056, 1283.600586, 1232.956299
62, 1251.380737, 1254.070068, 1251.445557
63, 1341.437988, 1326.536987, 1347.694580
64, 1291.713867, 1289.503662, 1297.389404
65, 1373.921387, 1445.460327, 1413.368896
66, 1372.772217, 1361.186157, 1369.026855
67, 1371.337158, 1367.588623, 1379.112793
68, 1413.303711, 1460.238770, 1493.391357
69, 1422.180420, 1422.573975, 1424.749146
70, 1433.108154, 1423.647461, 1433.444824
71, 1454.730835, 1468.284790, 1456.714478
72, 1479.683105, 1471.138428, 1473.771484
73, 1501.048218, 1491.533936, 1497.937256
74, 1528.454834, 1516.513428, 1523.843750
75, 1559.225342, 1547.751221, 1577.134399
76, 1596.752563, 1586.785034, 1578.783447
77, 1611.505371, 1594.418457, 1587.178467
78, 1646.350586, 1635.861816, 1630.327881
79, 1666.275146, 1653.676147, 1662.342773
80, 1698.447510, 1703.467529, 1723.684204
81, 1724.584717, 1725.696655, 1720.648438
82, 1744.708374, 1739.129639, 1743.274780
83, 1770.280884, 1745.522827, 1758.337524
84, 1804.138306, 1773.772217, 1779.343750
85, 1883.563843, 1809.087158, 1801.084351
86, 1847.666382, 1819.228760, 1830.248413
87, 1866.196899, 1838.442993, 1851.164795
88, 1971.379639, 1856.424438, 1894.216431
89, 1935.137939, 1892.542603, 1941.901611
90, 1932.203735, 1903.284180, 1926.000244
91, 1946.690186, 1930.068115, 1933.030029
92, 1966.938843, 1965.026733, 1956.773071
93, 2008.143799, 1990.652954, 2101.347168
94, 2043.504272, 2008.495361, 2016.034546
95, 2052.510254, 2016.709717, 2025.213501
96, 2053.450928, 2040.031006, 2055.071533
97, 2080.025146, 2070.113281, 2079.597168
