RadixSort
Elements, Best, Worst, Average
0, 0.510000, 0.480000, 0.470000
1, 0.541000, 0.538000, 0.537000
2, 8.724100, 20.843800, 8.563700
3, 10.862411, 26.624380, 10.646372
4, 12.516241, 31.332439, 12.274637
5, 13.901624, 35.973244, 13.847464
6, 15.300161, 39.867325, 15.204747
7, 16.750015, 44.296734, 16.840473
8, 19.295002, 48.459679, 19.174047
9, 19.659500, 53.665974, 19.747404
10, 21.005949, 57.306591, 21.044741
11, 83.940598, 93.200653, 35.434475
12, 72.324051, 99.620064, 34.043449
13, 51.012405, 74.341995, 26.574345
14, 54.371239, 83.204201, 30.067434
15, 64.517128, 95.080421, 31.066746
16, 58.621712, 83.798042, 30.006674
17, 60.552166, 87.799812, 31.230667
18, 62.535217, 93.199974, 32.893066
19, 67.063522, 96.889999, 34.499310
20, 71.776352, 101.429001, 36.209927
21, 87.437637, 129.292892, 44.980995
22, 77.023758, 115.579285, 41.588100
23, 80.952377, 120.907936, 42.218815
24, 106.165237, 168.950806, 56.481880
25, 96.796524, 146.205078, 50.378189
26, 89.419647, 131.950500, 45.687817
27, 131.841965, 165.065048, 58.118782
28, 94.384201, 136.806519, 48.241875
29, 94.388412, 136.830658, 48.174187
30, 95.708839, 141.053070, 49.337418
31, 98.470894, 145.015320, 50.893738
32, 101.247093, 150.351532, 52.359375
33, 121.484718, 182.365143, 63.025940
34, 109.118469, 161.256516, 56.362598
35, 110.811844, 162.895660, 56.666267
36, 119.431175, 172.449570, 64.136627
37, 122.673119, 184.084961, 66.193665
38, 130.557312, 195.278503, 68.229362
39, 129.985748, 192.827835, 66.102936
40, 127.568581, 186.402802, 64.990288
41, 136.296844, 203.890289, 68.899033
42, 177.269684, 254.889038, 81.279907
43, 172.916962, 266.868896, 90.607986
44, 157.951691, 247.356888, 77.900795
45, 140.185165, 208.075684, 71.260078
46, 152.228516, 232.937546, 77.956009
47, 144.962860, 216.123749, 74.485603
48, 147.716278, 217.012405, 74.968559
49, 154.691620, 230.921234, 78.096855
50, 168.579163, 248.942139, 90.309685
51, 158.597900, 234.344193, 81.590965
52, 160.169800, 237.834427, 82.689095
53, 162.626984, 240.923431, 83.948906
54, 168.502686, 254.822357, 89.064888
55, 184.580246, 277.712219, 98.466484
56, 170.348007, 253.441208, 88.236649
57, 179.944794, 268.294128, 90.973663
58, 177.384476, 262.049408, 90.087364
59, 178.218445, 264.564972, 90.858742
60, 182.321854, 274.136505, 94.535873
61, 192.752197, 283.173645, 98.793587
62, 189.305222, 279.087341, 96.859360
63, 206.980515, 297.568756, 101.125931
64, 230.288040, 342.106873, 118.062599
65, 205.038788, 304.010681, 103.366257
66, 218.483887, 337.441071, 112.586624
67, 213.368378, 307.284119, 104.918663
68, 205.216843, 302.168396, 103.811874
69, 208.181671, 309.976837, 107.171181
70, 218.188187, 326.117706, 113.587120
71, 261.968811, 425.871765, 136.458710
72, 396.316864, 499.157166, 180.285858
73, 338.771698, 547.035706, 170.598602
74, 275.657166, 380.373596, 140.529877
75, 232.455719, 335.657379, 116.462990
76, 229.055573, 339.985748, 117.586288
77, 228.675568, 339.498566, 116.498619
78, 235.147552, 346.599884, 120.139854
79, 234.904739, 350.570007, 119.323990
80, 236.840485, 350.506989, 121.682396
81, 243.174042, 391.400696, 123.158241
82, 248.987396, 366.200043, 137.545837
83, 251.748734, 372.429993, 153.274582
84, 249.454865, 378.683014, 147.037445
85, 251.895477, 401.588318, 131.033737
86, 256.049561, 401.628815, 142.523392
87, 265.944977, 394.382904, 132.692352
88, 264.474518, 416.188293, 153.139236
89, 293.387451, 390.728821, 135.493927
90, 270.248749, 435.092865, 139.009384
91, 277.104858, 426.559265, 136.920929
92, 281.620514, 407.465881, 164.572098
93, 283.852020, 416.546570, 158.897217
94, 287.385193, 449.164642, 158.629730
95, 283.408539, 449.176453, 154.822968
96, 315.620880, 463.937653, 150.802307
97, 292.222076, 458.273773, 153.330231
98, 312.072205, 436.647369, 176.063019
99, 325.227234, 449.024719, 151.116302
100, 304.342712, 471.972473, 150.171616
101, 436.204285, 512.487183, 153.747177
102, 454.600433, 501.638733, 154.854721
103, 474.120056, 514.023865, 162.255463
104, 454.771973, 477.152344, 157.055527
105, 462.977203, 463.345215, 158.955536
106, 462.837738, 460.874512, 159.815552
107, 473.873779, 469.117432, 164.441559
108, 469.867371, 471.821716, 164.264160
109, 478.156677, 481.522156, 165.206406
110, 486.275696, 480.572266, 163.900650
111, 486.257629, 481.797211, 169.070068
112, 497.045746, 495.039734, 178.516998
113, 554.064575, 518.843933, 169.151703
114, 521.816467, 523.924438, 169.765167
115, 551.551636, 519.762512, 189.936523
116, 527.635193, 526.336243, 183.843658
117, 523.653503, 523.363647, 178.534363
118, 531.755371, 541.386353, 181.413422
119, 533.075500, 523.548645, 179.851349
120, 523.267517, 520.694885, 177.745132
121, 529.036743, 524.169495, 179.894501
122, 532.403625, 530.356934, 183.449463
123, 556.380371, 535.815674, 182.634949
124, 541.657959, 537.831543, 184.823486
125, 542.705811, 544.323120, 186.652344
126, 547.110535, 544.542297, 187.465225
127, 553.351074, 550.064270, 187.616531
128, 557.625122, 556.536438, 190.451645
129, 568.442505, 563.363647, 192.935165
130, 566.424255, 562.406372, 191.493515
131, 576.292419, 566.920654, 194.949356
132, 586.329285, 596.062073, 204.254929
133, 601.302979, 590.716187, 200.335495
134, 581.500244, 581.181580, 197.653549
135, 595.009949, 591.928162, 203.595352
136, 603.420959, 590.412842, 201.799530
137, 597.682068, 592.721252, 202.199951
138, 600.348206, 603.302124, 205.550003
139, 618.234863, 618.820251, 208.494995
140, 621.313477, 607.982056, 207.799484
141, 615.051392, 611.838257, 208.679932
142, 623.275146, 617.823853, 211.678009
143, 625.347534, 618.522339, 210.817795
144, 626.004761, 627.662231, 215.921783
145, 629.740417, 625.876160, 213.722198
146, 632.804077, 631.607544, 216.532227
147, 637.760376, 642.250793, 223.423218
148, 663.955994, 647.305054, 222.642334
149, 654.805603, 656.200500, 222.564240
150, 661.980530, 655.020020, 230.086395
151, 653.757996, 653.641968, 222.958618
152, 656.725769, 659.564209, 225.325882
153, 662.212524, 660.356384, 226.402588
154, 796.161255, 806.535583, 284.850281
155, 887.206177, 885.863586, 292.585022
156, 746.100586, 748.616333, 250.678497
157, 738.340027, 771.891663, 278.617859
158, 767.543945, 746.059204, 242.441803
159, 744.914429, 750.125916, 248.244171
160, 890.161438, 883.062500, 291.784424
161, 811.446167, 807.526245, 280.788452
162, 759.404602, 724.642578, 260.808807
163, 727.620483, 716.834290, 245.910858
164, 716.992065, 714.103455, 251.991089
165, 780.959167, 757.700378, 257.409119
166, 780.475891, 776.430054, 265.540894
167, 780.887573, 775.342957, 263.864105
168, 785.198853, 787.444336, 267.226379
169, 744.509888, 736.424438, 251.222626
170, 740.820984, 735.612488, 249.282272
171, 740.642090, 740.251282, 250.568207
172, 743.054260, 740.165161, 252.156860
173, 754.085510, 754.116516, 260.445679
174, 797.248535, 764.381714, 262.764557
175, 771.904907, 786.988159, 263.206482
176, 770.870483, 777.008789, 260.890625
177, 764.897034, 764.620911, 261.669067
178, 768.259644, 765.862000, 260.826935
179, 773.125977, 769.026245, 267.052704
180, 778.832581, 776.652649, 263.975281
181, 791.983276, 785.145203, 265.587555
182, 840.928345, 796.684509, 280.278748
183, 803.312866, 817.338440, 269.557861
184, 802.491333, 811.173828, 273.365784
185, 803.159119, 800.397400, 273.756561
186, 855.435913, 825.129761, 293.855652
187, 839.333618, 848.853027, 276.275574
188, 847.023315, 863.235352, 283.067566
189, 831.132324, 837.363464, 281.016754
190, 824.913269, 848.746399, 284.721680
191, 833.041321, 832.964661, 282.932190
192, 832.654114, 836.476379, 282.543213
193, 839.265442, 836.557739, 281.694305
194, 863.436401, 875.985718, 284.389465
195, 885.143677, 886.528503, 316.638977
196, 906.404419, 867.152832, 296.253876
197, 889.470398, 917.405273, 297.645355
198, 962.657043, 914.270508, 320.174530
199, 890.945679, 890.777039, 303.207458
200, 904.814575, 891.007690, 322.330750
201, 918.991516, 906.050781, 303.943085
202, 898.179077, 909.005066, 312.784302
203, 942.917786, 918.830566, 308.888428
204, 926.821777, 920.963074, 326.348816
205, 914.362122, 940.686340, 334.404877
206, 938.406250, 948.018555, 328.550476
207, 958.210571, 947.911926, 317.665039
208, 977.531067, 956.111206, 315.876495
209, 929.913086, 922.671204, 317.807648
210, 930.701355, 908.527161, 308.350769
211, 909.330200, 905.482727, 308.665070
212, 910.862976, 908.578308, 308.116516
213, 922.626282, 929.767883, 318.401642
214, 919.682617, 922.716919, 315.990173
215, 1108.748291, 975.521667, 379.719025
216, 1455.014893, 1563.362061, 494.941895
217, 1564.321533, 1409.026123, 501.784180
218, 1250.502075, 1192.612549, 411.618408
219, 1696.630127, 1553.151123, 554.511841
220, 1338.523071, 1471.955200, 442.971191
221, 1290.302368, 1358.645508, 470.747162
222, 1342.550171, 1307.874512, 417.214691
223, 1500.934937, 1522.427490, 475.751465
224, 1491.743408, 1432.282715, 515.405151
225, 1399.834229, 1373.218262, 531.230530
226, 1451.563354, 1299.541748, 430.873047
227, 1202.486328, 1157.404175, 418.297302
228, 1226.448608, 1184.120361, 423.669739
229, 1113.504883, 1042.022095, 370.256958
230, 1057.210449, 1019.872192, 387.475647
231, 1031.881104, 1054.017212, 372.117554
232, 1079.258057, 1020.991699, 361.881775
233, 1126.345825, 1099.169189, 376.128174
234, 1026.684570, 1027.296997, 375.332825
235, 1012.618530, 1008.409668, 349.923309
236, 1016.301758, 1039.460938, 347.202362
237, 1030.450195, 1035.856079, 349.080231
238, 1027.555054, 1023.945496, 347.837982
239, 1041.035400, 1031.414551, 352.833801
240, 1055.403564, 1068.781372, 355.113403
241, 1388.570435, 1390.728271, 478.901276
242, 1269.417114, 1227.432861, 424.320129
243, 1149.881714, 1086.523315, 368.552002
244, 1060.048096, 1046.182373, 358.325256
245, 1051.844849, 1048.118286, 356.232513
246, 1058.264404, 1052.531860, 357.713226
247, 1057.876465, 1080.313110, 359.531311
248, 1060.737671, 1061.551392, 361.023132
249, 1079.443726, 1082.885132, 363.482330
250, 1155.254272, 1099.008545, 369.658203
251, 1102.355469, 1089.110840, 373.755829
252, 1087.335571, 1098.531006, 370.525574
253, 1105.063599, 1079.793091, 367.742584
254, 1094.006348, 1088.839355, 369.174255
255, 1092.390747, 1092.274048, 371.217438
256, 1095.499146, 1097.397217, 372.651733
257, 1108.319946, 1099.239746, 373.775208
258, 1108.461914, 1101.193970, 376.247498
259, 1138.126221, 1135.619385, 392.774780
260, 1117.532715, 1113.241943, 380.667450
261, 1119.803223, 1118.944214, 378.826721
262, 1124.220337, 1122.644409, 382.572693
263, 1125.271973, 1121.154541, 382.217285
264, 1133.817139, 1127.795288, 384.621735
265, 1135.531738, 1130.759521, 385.622162
266, 1147.833252, 1156.455933, 387.102234
267, 1150.423340, 1195.555542, 390.320221
268, 1155.232300, 1155.115479, 390.372009
269, 1151.003174, 1154.291504, 390.797211
270, 1157.400391, 1153.619263, 395.869720
271, 1167.020020, 1161.052002, 393.466980
272, 1202.351807, 1223.485352, 403.796722
273, 1226.685303, 1234.658447, 419.239655
274, 1255.048584, 1221.195801, 447.203918
275, 1199.324951, 1233.289551, 413.550385
276, 1222.682495, 1255.748901, 402.985046
277, 1194.588257, 1189.474854, 404.238495
278, 1193.808838, 1186.037476, 410.253845
279, 1194.760864, 1189.533691, 408.105377
280, 1200.745972, 1192.833496, 406.140564
281, 1206.044556, 1200.183350, 406.994080
282, 1205.644409, 1205.578369, 409.659424
283, 1238.434448, 1232.387817, 422.915955
284, 1258.343506, 1230.978882, 412.581604
285, 1237.894287, 1227.607788, 417.848145
286, 1418.299438, 1415.360840, 473.914856
287, 1455.290039, 1502.576172, 512.321472
288, 1391.659058, 1370.277588, 447.672119
289, 1531.325928, 1509.457642, 536.857178
290, 1556.472656, 1473.305786, 464.815674
291, 1833.397217, 1906.660767, 641.471558
292, 1317.399658, 1342.746094, 448.987152
293, 1539.079956, 1512.194702, 527.548706
294, 1339.858032, 1295.399414, 466.584808
295, 1306.855713, 1296.750000, 452.198486
296, 1383.445557, 1373.085083, 467.869873
297, 1712.884399, 1633.628540, 517.397034
298, 1345.968262, 1344.082764, 453.259674
299, 1309.196899, 1293.818237, 441.535950
