insertion.csv
Elements, Random
0, 1.710000
1, 1.761000
2, 3.806100
3, 7.520609
4, 9.552061
5, 11.845205
6, 19.024523
7, 25.572453
8, 29.087244
9, 30.658726
10, 35.175869
11, 38.207588
12, 43.710758
13, 57.711071
14, 68.841110
15, 77.704117
16, 90.410408
17, 98.831039
18, 88.453110
19, 96.815315
20, 119.771530
21, 129.577148
22, 138.537735
23, 135.793793
24, 155.709381
25, 173.910934
26, 168.441101
27, 144.444122
28, 141.014420
29, 145.651443
30, 155.205139
31, 166.690521
32, 182.079071
33, 205.607910
34, 221.020798
35, 239.792084
36, 242.679199
37, 276.997925
38, 261.489807
39, 320.168976
40, 301.976898
41, 309.727722
42, 323.672760
43, 329.117279
44, 331.761719
45, 334.596161
46, 341.209595
47, 349.820984
48, 365.852081
49, 399.245209
50, 411.844482
51, 401.004456
52, 428.820404
53, 421.832031
54, 425.383209
55, 438.998352
56, 483.399841
57, 475.830017
58, 523.132996
59, 515.223328
60, 536.602295
61, 570.060181
62, 576.466064
63, 590.926636
64, 667.422668
65, 665.752258
66, 673.995239
67, 743.809570
68, 1094.190918
69, 817.259094
70, 766.565979
71, 773.426636
72, 789.892639
73, 822.549316
74, 842.994934
75, 865.749512
76, 895.664917
77, 926.086609
78, 958.178711
79, 977.577942
80, 954.717773
81, 975.721802
82, 1018.012207
83, 1027.701294
84, 1058.920166
85, 1088.281982
86, 1145.048096
87, 1206.354736
88, 1198.785522
89, 1227.838501
90, 1239.693726
91, 1302.749390
92, 1330.014893
93, 1355.391602
94, 1405.949097
95, 1423.984985
96, 1421.468506
97, 1434.286743
98, 1452.628662
99, 1484.562744
100, 1536.926270
101, 1596.782593
102, 1554.488403
103, 1589.358765
104, 1615.905762
105, 1628.210571
106, 1670.250977
107, 1697.074951
108, 1711.027588
109, 1823.592529
110, 1900.969116
111, 1855.446655
112, 1910.104736
113, 1918.890381
114, 1999.938843
115, 1991.113892
116, 2025.091187
117, 2032.179077
118, 2146.487793
119, 2244.928955
120, 2321.933105
121, 2365.433350
122, 2418.363770
123, 2445.296387
124, 2316.769775
125, 2365.246826
126, 2415.304443
127, 2482.630615
128, 2598.593018
129, 2582.079102
130, 2597.237793
131, 2603.043701
132, 2610.544434
133, 2621.094482
134, 2683.979248
135, 2745.447754
136, 2796.904785
137, 2816.760254
138, 2876.216064
139, 2914.091553
140, 2985.309082
141, 3005.311035
142, 3063.270996
143, 3118.436768
144, 3211.843506
145, 3296.094238
146, 3353.959473
147, 3387.166016
148, 3410.386230
149, 3466.858643
150, 3928.855957
151, 3682.145752
152, 3564.784424
153, 3621.448486
154, 3645.864746
